policy_id,collection_date,insurer,premium_amount,payment_mode,policy_duration,policy_type,customer_age,region,renewal_status,collection_month,premium_outlier_flag,duration_bucket,renewal_flag
POL0007394,2021-04-01,HDFC Life,142054200,Monthly,15,Money Back,38,South,Renewed,2021-04,0,11-15 Years,1
POL0011260,2021-04-01,Tata AIA,93366700,Monthly,10,Term Life,38,East,Renewed,2021-04,0,5-10 Years,1
POL0019826,2021-04-01,LIC,152737400,Monthly,10,Endowment,55,East,Renewed,2021-04,0,5-10 Years,1
POL0014149,2021-04-01,LIC,102297200,Quarterly,10,Term Life,28,South,Lapsed,2021-04,0,5-10 Years,0
POL0000678,2021-04-01,LIC,122402700,Quarterly,5,Term Life,56,Central,Lapsed,2021-04,0,5-10 Years,0
POL0010791,2021-04-01,SBI Life,143857400,Quarterly,10,Term Life,66,North,Renewed,2021-04,0,5-10 Years,1
POL0017785,2021-04-01,LIC,98613300,Monthly,25,Term Life,43,West,Renewed,2021-04,0,21-25 Years,1
POL0023141,2021-04-01,Aditya Birla Sun Life,155805300,Monthly,15,Money Back,33,North,Lapsed,2021-04,0,11-15 Years,0
POL0007654,2021-04-01,LIC,112132500,Annual,10,Term Life,36,East,Renewed,2021-04,0,5-10 Years,1
POL0008504,2021-04-01,LIC,177677100,Quarterly,10,Endowment,55,West,Renewed,2021-04,0,5-10 Years,1
POL0006031,2021-04-01,SBI Life,193995000,Annual,15,Term Life,48,South,Renewed,2021-04,0,11-15 Years,1
POL0001029,2021-04-01,Aditya Birla Sun Life,100498100,Monthly,10,Term Life,54,Central,Lapsed,2021-04,0,5-10 Years,0
POL0017151,2021-04-01,Aditya Birla Sun Life,120477600,Monthly,15,Endowment,31,East,Renewed,2021-04,0,11-15 Years,1
POL0002011,2021-04-01,SBI Life,156942500,Monthly,20,Endowment,34,East,Lapsed,2021-04,0,16-20 Years,0
POL0013957,2021-04-01,LIC,201345300,Annual,20,Whole Life,30,West,Renewed,2021-04,0,16-20 Years,1
POL0017144,2021-04-01,LIC,147991100,Annual,15,Term Life,47,South,Renewed,2021-04,0,11-15 Years,1
POL0017439,2021-04-01,SBI Life,79975900,Monthly,10,Term Life,46,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0021407,2021-04-01,LIC,143977000,Quarterly,10,Term Life,59,North,Renewed,2021-04,0,5-10 Years,1
POL0006853,2021-04-01,ICICI Prudential,199396100,Annual,10,Endowment,49,East,Renewed,2021-04,0,5-10 Years,1
POL0023670,2021-04-01,LIC,140027900,Monthly,5,Money Back,40,Northeast,Renewed,2021-04,0,5-10 Years,1
POL0024732,2021-04-01,HDFC Life,205367000,Annual,20,Endowment,48,East,Renewed,2021-04,0,16-20 Years,1
POL0022934,2021-04-01,Tata AIA,185563800,Monthly,25,Whole Life,37,West,Renewed,2021-04,0,21-25 Years,1
POL0020382,2021-04-01,LIC,136029900,Monthly,20,Term Life,49,East,Lapsed,2021-04,0,16-20 Years,0
POL0015166,2021-04-01,Tata AIA,105959200,Annual,20,Term Life,38,West,Renewed,2021-04,0,16-20 Years,1
POL0022931,2021-04-01,LIC,199533200,Half-yearly,20,Endowment,45,North,Renewed,2021-04,0,16-20 Years,1
POL0001988,2021-04-01,Bajaj Allianz,177586000,Monthly,5,ULIP,36,North,Renewed,2021-04,0,5-10 Years,1
