collection_month,duration_bucket,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2021-04,11-15 Years,611,516,92126144000,77627902000,84.45171849427169
2021-04,16-20 Years,520,448,85752788600,74590895300,86.15384615384616
2021-04,21-25 Years,215,185,39280474200,33907388300,86.04651162790698
2021-04,5-10 Years,739,601,101512779200,82756663400,81.32611637347767
2021-05,11-15 Years,676,580,99879606700,85731894100,85.79881656804734
2021-05,16-20 Years,520,449,85208394200,74332483700,86.34615384615385
2021-05,21-25 Years,205,180,36865442600,32451180700,87.8048780487805
2021-05,5-10 Years,721,605,98781337300,82972988200,83.91123439667129
2021-06,11-15 Years,653,566,99692993100,86604722600,86.67687595712098
2021-06,16-20 Years,502,432,79811988700,68841447300,86.05577689243027
2021-06,21-25 Years,209,182,37043871000,32349603500,87.08133971291866
2021-06,5-10 Years,735,613,100966899500,84802054900,83.40136054421768
2021-07,11-15 Years,649,556,95626153800,82143576400,85.67026194144837
2021-07,16-20 Years,526,453,83470075000,72543948600,86.12167300380229
2021-07,21-25 Years,225,200,40902958100,36307576200,88.88888888888889
2021-07,5-10 Years,747,626,102607704400,85389870700,83.80187416331995
2021-08,11-15 Years,646,553,96429013300,82470577000,85.60371517027863
2021-08,16-20 Years,520,461,84263423000,75164162300,88.65384615384615
2021-08,21-25 Years,236,198,42312147900,35513193800,83.89830508474576
2021-08,5-10 Years,727,628,99738751200,86475240300,86.38239339752407
2021-09,11-15 Years,648,538,99533631200,83270952500,83.0246913580247
2021-09,16-20 Years,533,460,88163603600,76770505000,86.30393996247655
2021-09,21-25 Years,194,164,33901786800,28527471100,84.5360824742268
2021-09,5-10 Years,664,558,89502663000,75147871000,84.03614457831326
2021-10,11-15 Years,609,514,90459394200,76505451200,84.40065681444992
2021-10,16-20 Years,503,416,80595422200,66811401400,82.7037773359841
2021-10,21-25 Years,224,192,39157118300,33384030900,85.71428571428571
2021-10,5-10 Years,761,622,102942967200,84752854400,81.73455978975032
2021-11,11-15 Years,595,512,86489364400,74453701500,86.05042016806723
2021-11,16-20 Years,511,461,82872643000,74676037600,90.21526418786692
2021-11,21-25 Years,198,174,34690461100,30547004000,87.87878787878788
2021-11,5-10 Years,723,593,98681518600,80233413800,82.01936376210234
2021-12,11-15 Years,641,554,95895377200,82954048200,86.42745709828394
2021-12,16-20 Years,511,450,84273150200,74939000200,88.06262230919765
2021-12,21-25 Years,207,180,36084313400,31466158400,86.95652173913044
2021-12,5-10 Years,759,637,102209872400,85868128500,83.9262187088274
2022-01,11-15 Years,653,555,96157912000,82445906300,84.99234303215927
2022-01,16-20 Years,531,450,86961927700,73918194600,84.7457627118644
2022-01,21-25 Years,202,177,36834250600,32203546200,87.62376237623762
2022-01,5-10 Years,698,600,95430939700,82641459100,85.95988538681948
2022-02,11-15 Years,599,515,87984623800,74893556400,85.97662771285476
2022-02,16-20 Years,472,400,78262650300,66835568700,84.7457627118644
2022-02,21-25 Years,209,177,38528511900,32202830300,84.688995215311
2022-02,5-10 Years,660,547,90094886900,75796913700,82.87878787878788
2022-03,11-15 Years,648,533,95368611900,78421652600,82.25308641975309
2022-03,16-20 Years,526,457,86205993000,74681770200,86.88212927756655
2022-03,21-25 Years,212,179,37870642100,31658037600,84.43396226415094
2022-03,5-10 Years,727,636,100036017500,87464620200,87.4828060522696
2022-04,11-15 Years,634,531,102782925000,86531054200,83.75394321766562
2022-04,16-20 Years,488,427,86111188400,76047407500,87.5
2022-04,21-25 Years,217,174,42238706500,33761461500,80.18433179723502
2022-04,5-10 Years,750,614,111797504200,92149752100,81.86666666666666
2022-05,11-15 Years,652,554,105478232000,89517761000,84.96932515337423
2022-05,16-20 Years,561,507,98575368200,89539325000,90.37433155080214
2022-05,21-25 Years,202,180,38792313200,34691785900,89.10891089108911
2022-05,5-10 Years,808,688,120268361000,102471039200,85.14851485148515
2022-06,11-15 Years,582,498,95051466700,81509462500,85.56701030927834
2022-06,16-20 Years,502,449,87929526300,78475715200,89.44223107569721
2022-06,21-25 Years,184,161,35465239900,31181200400,87.5
2022-06,5-10 Years,800,680,119288223400,101632897900,85.0
2022-07,11-15 Years,630,537,100305044000,85812679100,85.23809523809524
2022-07,16-20 Years,531,457,93738002700,81424887100,86.06403013182674
2022-07,21-25 Years,207,185,41680090200,37388534700,89.3719806763285
2022-07,5-10 Years,727,626,108847894700,93026629400,86.10729023383769
2022-08,11-15 Years,661,574,105598042800,92120287400,86.83812405446294
2022-08,16-20 Years,564,472,99129920200,83862378700,83.68794326241135
2022-08,21-25 Years,207,176,41356317000,34555646200,85.02415458937197
2022-08,5-10 Years,765,666,112342713600,98634835900,87.05882352941177
2022-09,11-15 Years,663,553,108069491000,89796738300,83.40874811463047
2022-09,16-20 Years,519,439,93641079000,79256902000,84.58574181117534
2022-09,21-25 Years,228,193,45950010900,39335110900,84.64912280701753
2022-09,5-10 Years,730,620,110399329100,94043964800,84.93150684931507
2022-10,11-15 Years,628,507,101445878400,82076275200,80.73248407643312
2022-10,16-20 Years,483,421,87071745600,76866170800,87.16356107660455
2022-10,21-25 Years,205,178,38879124200,33876136500,86.82926829268293
