collection_month,insurer,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2021-04,Aditya Birla Sun Life,135,114,20261579600,17324873800,84.44444444444444
2021-04,Bajaj Allianz,118,95,17555889300,14171615900,80.50847457627118
2021-04,HDFC Life,156,130,24972083000,20559848900,83.33333333333334
2021-04,ICICI Prudential,106,90,15760586300,13108802200,84.90566037735849
2021-04,LIC,1179,986,181657997600,153361354800,83.63019508057677
2021-04,Max Life,108,93,15852493800,13899720300,86.11111111111111
2021-04,SBI Life,171,145,25575307400,21581596800,84.7953216374269
2021-04,Tata AIA,112,97,17036249000,14875036300,86.60714285714286
2021-05,Aditya Birla Sun Life,170,144,25450172100,21676591600,84.70588235294117
2021-05,Bajaj Allianz,126,113,18628658200,16659372800,89.68253968253968
2021-05,HDFC Life,131,109,19778640000,16375409600,83.20610687022901
2021-05,ICICI Prudential,123,104,18110826400,15297410300,84.5528455284553
2021-05,LIC,1190,1018,180236743500,154987850000,85.54621848739495
2021-05,Max Life,119,102,17890823000,15219342900,85.71428571428571
2021-05,SBI Life,161,135,25009878600,21490949200,83.85093167701864
2021-05,Tata AIA,102,89,15629039000,13781620300,87.25490196078431
2021-06,Aditya Birla Sun Life,136,112,21163580500,17548285900,82.35294117647058
2021-06,Bajaj Allianz,105,92,15171277700,13230462300,87.61904761904762
2021-06,HDFC Life,137,118,20344147000,17289296400,86.13138686131386
2021-06,ICICI Prudential,119,103,17941020300,15588782000,86.5546218487395
2021-06,LIC,1211,1031,184049514600,157821885400,85.1362510322048
2021-06,Max Life,113,100,16511534500,14763150200,88.49557522123894
2021-06,SBI Life,176,149,26928772300,22679390100,84.6590909090909
2021-06,Tata AIA,102,88,15405905400,13676576000,86.27450980392157
2021-07,Aditya Birla Sun Life,137,119,20822757400,17478639500,86.86131386861314
2021-07,Bajaj Allianz,94,77,14365172400,12088748800,81.91489361702128
2021-07,HDFC Life,179,148,27474398500,23045352300,82.68156424581005
2021-07,ICICI Prudential,133,117,18712969800,16644861000,87.96992481203007
2021-07,LIC,1238,1057,186520277500,159751309500,85.37964458804524
2021-07,Max Life,98,86,14446335400,12629055400,87.75510204081633
2021-07,SBI Life,166,144,24354497100,21086419400,86.74698795180723
2021-07,Tata AIA,102,87,15910483200,13660586000,85.29411764705883
2021-08,Aditya Birla Sun Life,176,143,26660796100,22047906100,81.25
2021-08,Bajaj Allianz,111,93,16398693800,13460360700,83.78378378378379
2021-08,HDFC Life,151,131,21467491700,18678971600,86.75496688741721
2021-08,ICICI Prudential,128,112,19788050200,17443753500,87.5
2021-08,LIC,1206,1047,182990330300,158455958200,86.81592039800995
2021-08,Max Life,89,75,13895600500,11902897400,84.26966292134831
2021-08,SBI Life,169,152,25975459100,23758992500,89.94082840236686
2021-08,Tata AIA,99,87,15566913700,13874333400,87.87878787878788
2021-09,Aditya Birla Sun Life,143,117,21029714800,17813223000,81.81818181818183
2021-09,Bajaj Allianz,108,95,16093970400,14143607000,87.96296296296296
2021-09,HDFC Life,160,136,23744611000,20259951200,85.0
2021-09,ICICI Prudential,136,121,20158815200,17561755900,88.97058823529412
2021-09,LIC,1153,957,176898887800,147186165200,83.00086730268865
2021-09,Max Life,106,92,17240317500,15313876400,86.79245283018868
2021-09,SBI Life,152,135,23807875700,21451514900,88.81578947368422
2021-09,Tata AIA,81,67,12127492200,9986706000,82.71604938271605
2021-10,Aditya Birla Sun Life,154,126,22780217900,18681374800,81.81818181818183
2021-10,Bajaj Allianz,99,87,16111650100,14053886600,87.87878787878788
2021-10,HDFC Life,148,124,22535062000,18647886800,83.78378378378379
2021-10,ICICI Prudential,134,111,19909748300,16643039900,82.83582089552239
2021-10,LIC,1201,986,177975572100,147131720500,82.09825145711906
2021-10,Max Life,114,102,17426545700,15436182400,89.47368421052632
2021-10,SBI Life,137,122,20414414900,18182862800,89.05109489051095
2021-10,Tata AIA,110,86,16001690900,12676784100,78.18181818181819
2021-11,Aditya Birla Sun Life,150,130,22536982100,19334433300,86.66666666666667
2021-11,Bajaj Allianz,112,101,17480464800,15799747300,90.17857142857143
2021-11,HDFC Life,141,126,20986032200,18812016900,89.36170212765957
2021-11,ICICI Prudential,124,105,18065629000,15332267900,84.67741935483872
2021-11,LIC,1134,965,169196204700,143944386200,85.09700176366843
2021-11,Max Life,104,89,15289811600,13027608300,85.57692307692307
2021-11,SBI Life,159,136,22736176500,19369216000,85.53459119496856
2021-11,Tata AIA,103,88,16442686200,14290481000,85.43689320388349
2021-12,Aditya Birla Sun Life,147,129,22400052300,19732080600,87.75510204081633
2021-12,Bajaj Allianz,80,69,11537788200,10056599200,86.25
2021-12,HDFC Life,131,112,19479302300,16399477800,85.49618320610686
2021-12,ICICI Prudential,146,123,22347118900,18957735700,84.24657534246576
2021-12,LIC,1232,1062,185153755400,160634773100,86.2012987012987
2021-12,Max Life,109,92,16178833000,13742449600,84.40366972477065
2021-12,SBI Life,168,144,25462807000,21994577100,85.71428571428571
2021-12,Tata AIA,105,90,15903056100,13709642200,85.71428571428571
2022-01,Aditya Birla Sun Life,160,137,24134080900,20891657200,85.625
