collection_month,payment_mode,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2021-04,Annual,558,503,96731611400,87524979700,90.14336917562724
2021-04,Half-yearly,165,128,25150660600,19572023100,77.57575757575758
2021-04,Monthly,856,700,121784026400,99638182400,81.77570093457945
2021-04,Quarterly,506,419,75005887600,62147663800,82.80632411067194
2021-05,Annual,545,491,91975799200,83223746700,90.09174311926606
2021-05,Half-yearly,143,122,22916347500,19741644500,85.3146853146853
2021-05,Monthly,922,766,130138845800,108592595200,83.08026030368764
2021-05,Quarterly,512,435,75703788300,63930560300,84.9609375
2021-06,Annual,540,473,93021253500,81811926400,87.5925925925926
2021-06,Half-yearly,167,139,25149676100,21100356400,83.23353293413174
2021-06,Monthly,880,750,123737711300,106131191100,85.22727272727273
2021-06,Quarterly,512,431,75607111400,63554354400,84.1796875
2021-07,Annual,545,482,92302272000,81750368000,88.44036697247707
2021-07,Half-yearly,164,146,25828569700,22975981200,89.02439024390245
2021-07,Monthly,898,749,124849685800,104140169400,83.40757238307349
2021-07,Quarterly,540,458,79626363800,67518453300,84.81481481481481
2021-08,Annual,565,509,96637856900,87152087200,90.08849557522124
2021-08,Half-yearly,175,160,26996543700,24758762200,91.42857142857143
2021-08,Monthly,862,730,119693164100,101455095800,84.68677494199535
2021-08,Quarterly,527,441,79415770700,66257228200,83.68121442125236
2021-09,Annual,509,441,88109719100,76754540600,86.64047151277013
2021-09,Half-yearly,184,158,29453116000,25640268100,85.86956521739131
2021-09,Monthly,827,692,115504864000,96507556700,83.67593712212818
2021-09,Quarterly,519,429,78033985500,64814434200,82.65895953757226
2021-10,Annual,489,425,82178797800,71445109700,86.9120654396728
2021-10,Half-yearly,184,156,28216263300,24158901000,84.78260869565217
2021-10,Monthly,893,720,123536663300,99678901900,80.62709966405374
2021-10,Quarterly,531,443,79223177500,66170825300,83.42749529190208
2021-11,Annual,509,436,85085907000,72767967100,85.6581532416503
2021-11,Half-yearly,173,151,26643879900,23521141000,87.28323699421965
2021-11,Monthly,818,701,114229183700,98223268700,85.69682151589242
2021-11,Quarterly,527,452,76775016500,65397780100,85.7685009487666
2021-12,Annual,535,466,90094359800,78953937500,87.10280373831776
2021-12,Half-yearly,160,142,25377386100,22560542700,88.75
2021-12,Monthly,906,768,126589999400,107713113200,84.76821192052981
2021-12,Quarterly,517,445,76400967900,65999741900,86.073500967118
2022-01,Annual,571,507,98395042600,87505269600,88.79159369527146
2022-01,Half-yearly,173,148,26382834000,22896451400,85.54913294797689
2022-01,Monthly,813,682,113540364200,95237150700,83.88683886838868
2022-01,Quarterly,527,445,77066789200,65570234500,84.44022770398482
2022-02,Annual,523,458,89553742000,78597528100,87.5717017208413
2022-02,Half-yearly,139,117,21871070900,18735787000,84.17266187050359
2022-02,Monthly,807,668,112981040700,93236873100,82.77571251548946
2022-02,Quarterly,471,396,70464819300,59158680900,84.07643312101911
2022-03,Annual,540,472,93007660500,80288869300,87.4074074074074
2022-03,Half-yearly,168,138,26286745100,21269151300,82.14285714285714
