collection_month,policy_type,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2021-04,Endowment,570,490,94467126600,81121606700,85.96491228070175
2021-04,Money Back,313,258,46436752100,38490160100,82.42811501597444
2021-04,Term Life,617,514,70485693400,59002234300,83.3063209076175
2021-04,ULIP,316,264,55482936300,46848714000,83.54430379746836
2021-04,Whole Life,269,224,51799677600,43420133900,83.27137546468401
2021-05,Endowment,546,465,88103883200,75554131700,85.16483516483517
2021-05,Money Back,314,271,46179562600,40051916600,86.30573248407643
2021-05,Term Life,637,543,71183353000,60865552800,85.24332810047096
2021-05,ULIP,326,286,58149609900,51325659100,87.73006134969326
2021-05,Whole Life,299,249,57118372100,47691286500,83.27759197324414
2021-06,Endowment,602,505,98417287800,82735665700,83.88704318936877
2021-06,Money Back,332,286,49111561400,42663817100,86.14457831325302
2021-06,Term Life,605,513,69639987800,59284048000,84.79338842975207
2021-06,ULIP,282,245,48444366000,42619453600,86.87943262411348
2021-06,Whole Life,278,244,51902549300,45294843900,87.76978417266187
2021-07,Endowment,576,493,93864699500,81159223900,85.59027777777779
2021-07,Money Back,290,246,42589079800,35995841000,84.82758620689656
2021-07,Term Life,691,601,77571239300,67849908100,86.97539797395079
2021-07,ULIP,329,281,58811833900,50591989100,85.41033434650456
2021-07,Whole Life,261,214,49770038800,40788009800,81.99233716475096
2021-08,Endowment,582,501,94690169300,81330868300,86.08247422680412
2021-08,Money Back,312,275,47922116800,42583828600,88.14102564102564
2021-08,Term Life,682,587,77023338400,66698917300,86.07038123167156
2021-08,ULIP,303,264,53995903000,47083040000,87.12871287128714
2021-08,Whole Life,250,213,49111807900,41926519200,85.2
2021-09,Endowment,553,478,91263004700,79330687100,86.4376130198915
2021-09,Money Back,301,250,45036925700,37632551200,83.05647840531562
2021-09,Term Life,609,512,69464291500,58846397000,84.07224958949097
2021-09,ULIP,285,242,50775993000,43390279400,84.91228070175438
2021-09,Whole Life,291,238,54561469700,44516884900,81.78694158075601
2021-10,Endowment,557,456,89980353300,73938939700,81.86714542190305
2021-10,Money Back,324,268,46569123100,38392784900,82.71604938271605
2021-10,Term Life,632,534,71665532000,61206878500,84.49367088607595
2021-10,ULIP,329,277,56883198400,48363599600,84.19452887537993
2021-10,Whole Life,255,209,48056695100,39551535200,81.96078431372548
2021-11,Endowment,549,470,87418445600,74927369100,85.61020036429873
2021-11,Money Back,297,253,43680948700,37209609600,85.18518518518519
2021-11,Term Life,616,529,68577931700,59174557100,85.87662337662337
2021-11,ULIP,294,253,50819316500,42982793900,86.05442176870748
2021-11,Whole Life,271,235,52237344600,45615827200,86.71586715867159
2021-12,Endowment,531,458,85830801500,74588035700,86.25235404896422
2021-12,Money Back,311,262,44745747900,37760448300,84.2443729903537
2021-12,Term Life,660,570,75191692300,65303658000,86.36363636363636
2021-12,ULIP,337,291,59781255300,51636300100,86.35014836795251
2021-12,Whole Life,279,240,52913216200,45938893200,86.02150537634408
2022-01,Endowment,574,490,95135707400,81579575500,85.36585365853658
2022-01,Money Back,326,271,47061502300,39538899800,83.12883435582822
2022-01,Term Life,595,502,65916776300,55192848300,84.36974789915966
2022-01,ULIP,325,286,56425933900,49646944100,88.0
2022-01,Whole Life,264,233,50845110100,45250838500,88.25757575757575
2022-02,Endowment,515,439,83713955600,71732478900,85.24271844660194
2022-02,Money Back,299,250,44524106000,37321139500,83.61204013377926
2022-02,Term Life,592,499,68538130500,58321025000,84.29054054054053
2022-02,ULIP,294,241,52839455700,42983343900,81.97278911564626
2022-02,Whole Life,240,210,45255025100,39370881800,87.5
2022-03,Endowment,581,491,95316365700,80330789600,84.50946643717728
2022-03,Money Back,311,271,45413913100,39730663600,87.13826366559485
2022-03,Term Life,652,556,74448848700,63588117400,85.2760736196319
2022-03,ULIP,289,246,51070001300,42853674400,85.12110726643598
2022-03,Whole Life,280,241,53232135700,45722835600,86.07142857142858
2022-04,Endowment,564,466,99580245800,83530073500,82.62411347517731
2022-04,Money Back,298,253,48258983300,40802948300,84.8993288590604
2022-04,Term Life,635,528,76918031600,63856654700,83.14960629921259
2022-04,ULIP,305,260,58910889300,50573564000,85.24590163934425
2022-04,Whole Life,287,239,59262174100,49726434800,83.27526132404182
2022-05,Endowment,605,529,107184284900,93683792100,87.43801652892562
2022-05,Money Back,313,268,50269738200,43056478200,85.62300319488818
2022-05,Term Life,697,602,86419188800,74657108400,86.37015781922524
2022-05,ULIP,337,295,64201161000,56438942100,87.53709198813057
2022-05,Whole Life,271,235,55039901500,48383590300,86.71586715867159
2022-06,Endowment,575,504,100547928900,88274658500,87.65217391304347
2022-06,Money Back,325,285,51478632900,45346221700,87.6923076923077
2022-06,Term Life,605,526,74068271600,64440375800,86.94214876033057
2022-06,ULIP,321,264,60782264000,50572683800,82.2429906542056
2022-06,Whole Life,242,209,50857358900,44165336200,86.36363636363636
2022-07,Endowment,551,475,98495580600,85741624700,86.20689655172413
2022-07,Money Back,289,261,45879770600,41512934800,90.3114186851211
2022-07,Term Life,643,554,78209246300,67530609800,86.15863141524106
2022-07,ULIP,319,266,61054668500,50936291200,83.38557993730407
2022-07,Whole Life,293,249,60931765600,51931269800,84.98293515358361
2022-08,Endowment,586,502,102909156100,88435532900,85.6655290102389
2022-08,Money Back,284,239,45089720400,38165265600,84.15492957746478
2022-08,Term Life,719,617,87549995000,75161752400,85.81363004172462
2022-08,ULIP,326,283,62981888600,54981847600,86.80981595092024
2022-08,Whole Life,282,247,59896233500,52428749700,87.58865248226951
2022-09,Endowment,589,490,105129263600,87885155800,83.1918505942275
2022-09,Money Back,321,275,52085454200,44396207000,85.66978193146417
2022-09,Term Life,618,524,77767209500,66144474500,84.78964401294499
2022-09,ULIP,326,277,64010487200,54619726600,84.96932515337423
2022-09,Whole Life,286,239,59067495500,49387152100,83.56643356643356
2022-10,Endowment,571,482,100073106900,84464228800,84.41330998248687
2022-10,Money Back,303,260,48977111200,42345573400,85.8085808580858
2022-10,Term Life,604,505,75024254300,63309134900,83.6092715231788
2022-10,ULIP,317,262,59763722900,49374604900,82.64984227129337
2022-10,Whole Life,257,206,53596659100,44030319400,80.1556420233463
2022-11,Endowment,574,490,100882706300,86439468800,85.36585365853658
2022-11,Money Back,300,265,48549525700,42977444200,88.33333333333333
2022-11,Term Life,614,526,75400475000,64936258600,85.66775244299674
2022-11,ULIP,312,264,60968928300,51189965500,84.61538461538461
2022-11,Whole Life,262,220,53686086200,45471283600,83.96946564885496
2022-12,Endowment,563,482,99980839100,85827672000,85.61278863232683
2022-12,Money Back,325,285,52473363700,46527768100,87.6923076923077
2022-12,Term Life,592,507,72663426300,62833192700,85.6418918918919
2022-12,ULIP,332,294,63997244300,56788310200,88.55421686746988
2022-12,Whole Life,273,241,56302167000,49784858500,88.27838827838828
2023-01,Endowment,558,471,98910304700,83540487800,84.40860215053763
2023-01,Money Back,322,291,51978045800,47304603700,90.37267080745342
2023-01,Term Life,614,518,75464917100,63156632400,84.36482084690554
2023-01,ULIP,312,270,61606805700,53685796100,86.53846153846155
2023-01,Whole Life,278,230,57861025100,48550347200,82.73381294964028
2023-02,Endowment,497,435,87553455200,76848981300,87.5251509054326
2023-02,Money Back,282,240,45198887400,38580644600,85.1063829787234
2023-02,Term Life,602,506,75857800400,64714045900,84.0531561461794
2023-02,ULIP,281,230,52543811600,43795370400,81.85053380782918
2023-02,Whole Life,233,196,49022511400,41245109700,84.12017167381974
2023-03,Endowment,555,486,97342033000,85143253200,87.56756756756758
2023-03,Money Back,292,248,48088877900,41295742600,84.93150684931507
2023-03,Term Life,621,525,77233938900,65495101900,84.54106280193237
2023-03,ULIP,293,247,56049624300,47602694900,84.30034129692832
2023-03,Whole Life,249,216,50892855200,44215472600,86.74698795180723
2023-04,Endowment,521,447,102875267300,88422719400,85.79654510556622
2023-04,Money Back,294,250,50651001000,43175545100,85.03401360544217
2023-04,Term Life,639,535,85515420400,71564792200,83.7245696400626
2023-04,ULIP,289,239,61307841100,51490392600,82.69896193771626
2023-04,Whole Life,307,259,68971084900,58335798000,84.36482084690554
2023-05,Endowment,534,456,103296851500,88617414400,85.39325842696628
2023-05,Money Back,296,251,52455453900,44076827100,84.7972972972973
2023-05,Term Life,675,563,88771081300,74973048900,83.4074074074074
2023-05,ULIP,319,264,66829842000,54524654100,82.75862068965517
2023-05,Whole Life,280,238,65147631300,55206133900,85.0
2023-06,Endowment,599,504,116763501100,98533192800,84.14023372287144
2023-06,Money Back,303,246,54590481400,45076521200,81.1881188118812
2023-06,Term Life,608,512,82050661600,68866683200,84.21052631578947
2023-06,ULIP,304,264,62323625600,54186674200,86.8421052631579
2023-06,Whole Life,261,225,58463945800,50531191200,86.20689655172413
2023-07,Endowment,572,493,109793676900,94898362400,86.18881118881119
2023-07,Money Back,357,307,62670591800,53871025300,85.99439775910365
2023-07,Term Life,620,539,84908911100,74426071600,86.93548387096774
2023-07,ULIP,297,256,63345819900,55341763200,86.19528619528619
2023-07,Whole Life,289,241,65547724400,55170911200,83.39100346020761
2023-08,Endowment,551,463,107089864700,90365378300,84.0290381125227
