collection_month,region,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2021-04,Central,257,205,39687346000,32144407200,79.76653696498055
2021-04,East,312,257,47592311500,39101013500,82.37179487179486
2021-04,North,421,354,65286121400,55135492000,84.08551068883611
2021-04,Northeast,168,148,25436871800,22361300800,88.09523809523809
2021-04,South,479,407,73480200900,63259939500,84.96868475991648
2021-04,West,448,379,67189334400,56880696000,84.59821428571429
2021-05,Central,257,212,38932039400,32191299300,82.49027237354085
2021-05,East,335,289,49593844600,42783437000,86.26865671641791
2021-05,North,452,380,67092633100,56595830900,84.070796460177
2021-05,Northeast,158,135,24031296700,20468314400,85.44303797468355
2021-05,South,470,403,71596932400,61962473000,85.74468085106382
2021-05,West,450,395,69488034600,61487192100,87.77777777777777
2021-06,Central,247,207,37572750200,32096072100,83.80566801619433
2021-06,East,340,292,50341882100,43217055100,85.88235294117646
2021-06,North,383,325,58421982700,49942936800,84.85639686684074
2021-06,Northeast,166,143,25888923500,22438101300,86.14457831325302
2021-06,South,473,415,71482170300,62829061200,87.73784355179704
2021-06,West,490,411,73808043500,62074601800,83.87755102040816
2021-07,Central,242,201,35548793800,30015312000,83.05785123966942
2021-07,East,344,294,51839511200,44690651300,85.46511627906976
2021-07,North,448,378,67731035200,57127033800,84.375
2021-07,Northeast,168,147,25681486900,22478524700,87.5
2021-07,South,485,408,73604363500,62074895300,84.12371134020619
2021-07,West,460,407,68201700700,59998554800,88.47826086956522
2021-08,Central,252,218,37270172500,32632620300,86.5079365079365
2021-08,East,369,320,55315386700,47843394500,86.72086720867209
2021-08,North,421,369,64230881000,56342642100,87.64845605700712
2021-08,Northeast,161,136,24171013300,20401235500,84.472049689441
2021-08,South,513,442,78731591600,68331822500,86.15984405458089
2021-08,West,413,355,63024290300,54071458500,85.95641646489103
2021-09,Central,241,198,37862418700,31424620300,82.15767634854771
2021-09,East,301,262,45389031900,38946411600,87.04318936877077
2021-09,North,391,324,59776309600,49876644700,82.86445012787725
2021-09,Northeast,180,151,27762000900,23671153400,83.88888888888889
2021-09,South,436,367,66617388300,56183374400,84.17431192660551
2021-09,West,490,418,73694535200,63614595200,85.3061224489796
2021-10,Central,244,203,36565961200,30329561700,83.19672131147541
2021-10,East,338,281,51737750600,43509514000,83.13609467455622
2021-10,North,444,379,65707466100,56393031300,85.36036036036036
2021-10,Northeast,161,133,23824099800,19729117900,82.6086956521739
2021-10,South,450,367,67660420800,55756083700,81.55555555555556
2021-10,West,460,381,67659203400,55736429300,82.82608695652173
2021-11,Central,241,198,36293364600,29642919300,82.15767634854771
2021-11,East,347,303,51431187400,44677912200,87.31988472622479
2021-11,North,407,357,59793616000,52869210300,87.71498771498771
2021-11,Northeast,152,125,22518300300,18529633400,82.23684210526315
2021-11,South,473,400,70981621000,60006209900,84.56659619450318
2021-11,West,407,357,61715897800,54184271800,87.71498771498771
2021-12,Central,266,225,40556501000,34109184000,84.58646616541353
2021-12,East,328,281,48343419800,41901644300,85.67073170731707
2021-12,North,426,364,66046497400,56860480100,85.44600938967136
2021-12,Northeast,178,151,26719226800,22819772000,84.8314606741573
2021-12,South,454,390,68676334000,58940682600,85.90308370044053
2021-12,West,466,410,68120734200,60595572300,87.98283261802575
2022-01,Central,259,228,39445663700,34615017900,88.03088803088804
2022-01,East,325,277,49154038800,42003549400,85.23076923076923
2022-01,North,425,358,64187718000,54773474100,84.23529411764706
2022-01,Northeast,166,143,25798556100,22263528000,86.14457831325302
2022-01,South,456,388,67557531600,58253431400,85.08771929824562
2022-01,West,453,388,69241521800,59300105400,85.65121412803532
2022-02,Central,208,179,31750008800,27155436300,86.0576923076923
2022-02,East,322,270,49171813500,41022725900,83.85093167701864
2022-02,North,406,342,59751162800,50646543500,84.23645320197043
2022-02,Northeast,147,122,21961138500,18423065100,82.99319727891157
2022-02,South,400,337,62278044000,52475587400,84.25
2022-02,West,457,389,69958505300,60005510900,85.12035010940919
2022-03,Central,252,209,40300482600,33081312100,82.93650793650794
2022-03,East,376,317,55295122200,47359569900,84.30851063829788
2022-03,North,443,386,65283924000,56217984900,87.13318284424379
2022-03,Northeast,155,135,24125133300,20914159300,87.09677419354838
