collection_month,total_policies,renewed_policies,total_premium,renewed_premium,renewal_rate
2021-04,2085,1750,318672186000,268882849000,83.93285371702638
2021-05,2122,1814,320734780800,275488546700,85.48539114043355
2021-06,2099,1793,317515752300,272597828300,85.42162934730824
2021-07,2147,1835,322606891300,276384971900,85.46809501630182
2021-08,2129,1840,322743335400,279623173400,86.42555190230155
2021-09,2039,1720,311101684600,263716799600,84.35507601765572
2021-10,2097,1744,313154901900,261453737900,83.1664282308059
2021-11,2027,1740,302733987100,259910156900,85.84114454859399
2021-12,2118,1821,318462713200,275227335300,85.97733711048159
2022-01,2084,1782,315385030000,271209106200,85.50863723608445
2022-02,1940,1639,294870672900,249728869100,84.48453608247422
2022-03,2113,1805,319481264500,272226080600,85.42356838618078
2022-04,2089,1746,342930324100,288489675300,83.5806606031594
2022-05,2223,1929,363114274400,316219911100,86.77462887989203
2022-06,2068,1788,337734456300,292799276000,86.46034816247582
2022-07,2095,1805,344571031600,297652730300,86.15751789976133
2022-08,2197,1888,358426993600,309173148200,85.93536640873918
2022-09,2140,1805,358059910000,302432716000,84.34579439252336
2022-10,2052,1715,337434854400,283523861400,83.57699805068226
2022-11,2062,1765,339487721500,291014420700,85.59650824442289
2022-12,2085,1809,345417040400,301761801500,86.76258992805755
2023-01,2084,1780,345821098400,296237867200,85.41266794625719
2023-02,1895,1607,310176466000,265184151900,84.80211081794195
2023-03,2010,1722,329607329300,283752265200,85.67164179104478
2023-04,2050,1730,369320614700,312989247300,84.39024390243902
2023-05,2104,1772,376500860000,317398078400,84.22053231939164
2023-06,2075,1751,374192215500,317194262600,84.3855421686747
2023-07,2135,1836,386266724100,333708133700,85.99531615925059
2023-08,2046,1712,371923086200,311518506900,83.67546432062561
2023-09,2053,1765,371822110700,320822569400,85.97174866049684
2023-10,2129,1814,378460020300,323917439200,85.20432127759511
2023-11,2108,1811,379968097400,328396331900,85.91081593927893
2023-12,2101,1801,379686419500,327337363900,85.721085197525
2024-01,2051,1761,372443644200,322657410200,85.86055582642614
2024-02,2022,1715,367378924900,313669653500,84.81701285855588
2024-03,2126,1790,387277482500,326080583900,84.19567262464722
2024-04,2108,1809,408462274000,351245978900,85.81593927893738
2024-05,2034,1709,399168086200,336930071200,84.02163225172075
2024-06,2011,1736,396437781400,343611913600,86.32521133764295
2024-07,2169,1858,418987065000,359321628800,85.66159520516366
2024-08,2160,1845,424762575500,365614585300,85.41666666666666
2024-09,2037,1733,399161051000,340922489400,85.07609229258713
2024-10,2123,1829,415980818800,360079425300,86.15167216203486
2024-11,2070,1760,402610618700,343491973800,85.02415458937197
2024-12,2137,1829,416285395900,359274050600,85.58727187646234
2025-01,2165,1868,423553304400,366261009300,86.28175519630486
2025-02,1869,1624,362833260700,316262804300,86.89138576779027
2025-03,2117,1823,411835668400,355312270600,86.11242324043458
