collection_month,renewed_premium_diff
2021-05-01,6605697700.0
2021-06-01,-2890718400.0
2021-07-01,3787143600.0
2021-08-01,3238201500.0
2021-09-01,-15906373800.0
2021-10-01,-2263061700.0
2021-11-01,-1543581000.0
2021-12-01,15317178400.0
2022-01-01,-4018229100.0
2022-02-01,-21480237100.0
2022-03-01,22497211500.0
2022-04-01,16263594700.0
2022-05-01,27730235800.0
2022-06-01,-23420635100.0
2022-07-01,4853454300.0
2022-08-01,11520417900.0
2022-09-01,-6740432200.0
2022-10-01,-18908854600.0
2022-11-01,7490559300.0
2022-12-01,10747380800.0
2023-01-01,-5523934300.0
2023-02-01,-31053715300.0
2023-03-01,18568113300.0
2023-04-01,29236982100.0
2023-05-01,4408831100.0
2023-06-01,-203815800.0
2023-07-01,16513871100.0
2023-08-01,-22189626800.0
2023-09-01,9304062500.0
2023-10-01,3094869800.0
2023-11-01,4478892700.0
2023-12-01,-1058968000.0
2024-01-01,-4679953700.0
2024-02-01,-8987756700.0
2024-03-01,12410930400.0
2024-04-01,25165395000.0
2024-05-01,-14315907700.0
2024-06-01,6681842400.0
2024-07-01,15709715200.0
2024-08-01,6292956500.0
2024-09-01,-24692095900.0
2024-10-01,19156935900.0
2024-11-01,-16587451500.0
2024-12-01,15782076800.0
2025-01-01,6986958700.0
2025-02-01,-49998205000.0
2025-03-01,39049466300.0
