Insurer,Model,MAE,RMSE,WAPE,Bias,MAPE
Aditya Birla Sun Life,ARIMA,3287844739.979286,3974857063.961765,13.589593920376746,-2860561191.3248954,12.862114327398308
Aditya Birla Sun Life,Tuned SARIMA,3184880291.968436,3739970848.851394,13.164012681795509,-1778152005.8575442,12.959900163986884
Aditya Birla Sun Life,Seasonal Naive,3706392050.0,4407141595.4708395,15.319568547975305,-2116426616.6666667,15.0592224942871
Aditya Birla Sun Life,Naive,3989569441.6666665,4622613711.6238785,16.4900209459817,-3731594958.3333335,15.638015273115947
Aditya Birla Sun Life,Default Prophet,3934224520.305458,4422915108.441676,16.26126470402523,-766331770.7118092,16.16067268114345
Aditya Birla Sun Life,Tuned Prophet,3901476443.4994698,4509123140.0070505,16.125907623426137,859880980.8982271,16.55786766391712
Bajaj Allianz,Naive,2043310783.3333333,2466226883.001068,11.525551906462251,-1192662350.0,11.005967677571405
Bajaj Allianz,Tuned SARIMA,2051665657.4497929,2439267313.2337623,11.572678626531786,-983726165.0256634,11.157789546050672
Bajaj Allianz,ARIMA,2122151671.505736,2602845110.551083,11.970263869221162,-1446394694.9021854,11.307722569209083
Bajaj Allianz,Default Prophet,2370209822.849986,2864974435.5472765,13.369467124281172,-772762165.7703542,13.417798674486168
Bajaj Allianz,Seasonal Naive,2614977091.6666665,3148330670.9041023,14.750107741832027,-1644281941.6666667,13.945214159057489
Bajaj Allianz,Tuned Prophet,2488051075.873646,3211128038.001457,14.034165558569804,-624961574.2091489,14.216387476067693
HDFC Life,ARIMA,1960415894.2794724,2506845310.264924,8.363320639403952,-457945854.4292081,8.451678822494936
HDFC Life,Tuned SARIMA,2394480217.8287416,3026009398.17525,10.215080322929042,-1734448497.9720347,9.859978284643793
HDFC Life,Naive,2248261533.3333335,2866489422.4882817,9.591297509560048,1561640566.6666667,10.423074422564694
HDFC Life,Seasonal Naive,2773889750.0,3259186378.0177336,11.83367746879677,-1925629966.6666667,11.549486460507481
HDFC Life,Default Prophet,3384220047.4234695,3817741869.767439,14.437404559660475,-1164001949.9917328,14.896660081497332
HDFC Life,Tuned Prophet,3386755932.026079,3820284325.9677806,14.448222884536351,-1164764552.870753,14.90708426961142
ICICI Prudential,Seasonal Naive,3141779325.0,3595271350.293785,14.788947855980087,-2621822108.3333335,14.558308986810617
ICICI Prudential,Tuned SARIMA,3335352890.334614,3740529430.006604,15.700135138056226,-3008567566.063722,15.048938732753689
ICICI Prudential,Naive,3395025366.6666665,3847791547.9788723,15.98102473901887,-3108530066.6666665,15.266583305339779
ICICI Prudential,ARIMA,3663774628.154695,4167073075.090696,17.24607820182998,-3497181218.6238713,16.423321732610336
ICICI Prudential,Default Prophet,3763724897.2535453,4479403272.530652,17.716562970168724,-1196174974.237025,17.60185091618133
ICICI Prudential,Tuned Prophet,3763724897.2535453,4479403272.530652,17.716562970168724,-1196174974.237025,17.60185091618133
LIC,Default Prophet,6954234442.1486025,8572797563.715156,3.476275108927557,4377357742.912727,3.491818213892025
LIC,Tuned SARIMA,10793996052.065794,12387237991.915007,5.395690943957511,-8729049789.987928,5.3266090718266454
LIC,Tuned Prophet,13660783412.91599,15218689129.498274,6.828737475249404,11670930095.460348,6.803965262808824
LIC,Seasonal Naive,16129476683.333334,17849691128.546593,8.062785167906325,-15655464933.333334,7.931797626570776
LIC,Naive,16643458491.666666,18058068256.869762,8.319713832249528,-15505542108.333334,8.18587901865198
LIC,ARIMA,16678608723.913847,18095840118.202656,8.337284691910703,-15548596775.488655,8.20296875780764
Max Life,Naive,986074683.3333334,1487887757.8796396,5.584761913536036,725767183.3333334,6.0751150041484125
Max Life,ARIMA,1078006863.6666958,1313748443.2310483,6.105431745174471,-264302808.62971306,6.257650989537031
Max Life,Tuned SARIMA,1546007403.994727,1714872029.3432817,8.75601352900346,-1076417423.8054855,8.674239573110876
Max Life,Default Prophet,2205386892.582005,2705618877.2113466,12.490494817967122,-1349463335.25131,12.323186456346589
Max Life,Tuned Prophet,2296304715.519222,2801244961.262158,13.005419704878287,-1489656037.3716881,12.791065828778022
Max Life,Seasonal Naive,2331200316.6666665,2769052365.179824,13.203055469726655,-1851166150.0,12.990681895093312
SBI Life,Seasonal Naive,1432746925.0,1864519431.2315412,5.090389261738719,-1071704508.3333334,4.982062528219555
SBI Life,ARIMA,1918454149.6827412,2526894368.427443,6.816052599577634,-1314835977.7047336,6.66257010691666
SBI Life,Naive,2058201200.0,2637886914.2270784,7.312558208406377,-1508444450.0,7.13591366094727
SBI Life,Tuned SARIMA,2179884220.453693,2739693738.3286824,7.74488434350062,-1641707414.7281094,7.554469360967879
SBI Life,Default Prophet,3016967882.589752,3944666802.7708817,10.718948786119695,1181035990.4153097,11.039747979789128
SBI Life,Tuned Prophet,3016967882.589752,3944666802.7708817,10.718948786119695,1181035990.4153097,11.039747979789128
Tata AIA,Naive,1485626091.6666667,1815455709.8383217,8.536862844131877,-1020733341.6666666,8.163932051498087
Tata AIA,Tuned SARIMA,1487060617.3982937,1805393308.3547745,8.545106068645751,-993892621.8990957,8.185820274588659
Tata AIA,ARIMA,1498751341.4939125,1838510316.3724067,8.612284552325262,-1062456173.4773375,8.223314671528472
Tata AIA,Tuned Prophet,1657227810.1278193,2076806103.0653162,9.522938911681775,-37425719.816820465,9.919153694041363
Tata AIA,Default Prophet,1666474247.2716048,2091647241.7966812,9.576071773399914,-43000904.88679329,9.975663957583368
Tata AIA,Seasonal Naive,1965141841.6666667,2550837150.722525,11.292307307791384,-1666722125.0,10.941176852708777
