month,insurer,model,forecast_renewed_premium
2025-04-01,Aditya Birla Sun Life,ARIMA,25007697196.644836
2025-05-01,Aditya Birla Sun Life,ARIMA,24636877930.043907
2025-06-01,Aditya Birla Sun Life,ARIMA,24581342067.761982
2025-07-01,Aditya Birla Sun Life,ARIMA,24573024722.15136
2025-08-01,Aditya Birla Sun Life,ARIMA,24571779072.310627
2025-09-01,Aditya Birla Sun Life,ARIMA,24571592517.17653
2025-10-01,Aditya Birla Sun Life,ARIMA,24571564577.689106
2025-11-01,Aditya Birla Sun Life,ARIMA,24571560393.32312
2025-12-01,Aditya Birla Sun Life,ARIMA,24571559766.650253
2026-01-01,Aditya Birla Sun Life,ARIMA,24571559672.7964
2026-02-01,Aditya Birla Sun Life,ARIMA,24571559658.740345
2026-03-01,Aditya Birla Sun Life,ARIMA,24571559656.635235
2025-04-01,Bajaj Allianz,Naive,17751086100.0
2025-05-01,Bajaj Allianz,Naive,17751086100.0
2025-06-01,Bajaj Allianz,Naive,17751086100.0
2025-07-01,Bajaj Allianz,Naive,17751086100.0
2025-08-01,Bajaj Allianz,Naive,17751086100.0
2025-09-01,Bajaj Allianz,Naive,17751086100.0
2025-10-01,Bajaj Allianz,Naive,17751086100.0
2025-11-01,Bajaj Allianz,Naive,17751086100.0
2025-12-01,Bajaj Allianz,Naive,17751086100.0
2026-01-01,Bajaj Allianz,Naive,17751086100.0
2026-02-01,Bajaj Allianz,Naive,17751086100.0
2026-03-01,Bajaj Allianz,Naive,17751086100.0
2025-04-01,HDFC Life,ARIMA,22320567183.59807
2025-05-01,HDFC Life,ARIMA,22323095421.322586
2025-06-01,HDFC Life,ARIMA,22323110680.796852
2025-07-01,HDFC Life,ARIMA,22323110772.897194
2025-08-01,HDFC Life,ARIMA,22323110773.453075
2025-09-01,HDFC Life,ARIMA,22323110773.456432
2025-10-01,HDFC Life,ARIMA,22323110773.45645
2025-11-01,HDFC Life,ARIMA,22323110773.45645
2025-12-01,HDFC Life,ARIMA,22323110773.45645
2026-01-01,HDFC Life,ARIMA,22323110773.45645
2026-02-01,HDFC Life,ARIMA,22323110773.45645
2026-03-01,HDFC Life,ARIMA,22323110773.45645
2025-04-01,ICICI Prudential,Seasonal Naive,22854058200.0
2025-05-01,ICICI Prudential,Seasonal Naive,16748253400.0
2025-06-01,ICICI Prudential,Seasonal Naive,24216381600.0
2025-07-01,ICICI Prudential,Seasonal Naive,20683559200.0
2025-08-01,ICICI Prudential,Seasonal Naive,19750051500.0
2025-09-01,ICICI Prudential,Seasonal Naive,20994813300.0
2025-10-01,ICICI Prudential,Seasonal Naive,17803920800.0
2025-11-01,ICICI Prudential,Seasonal Naive,22075418100.0
2025-12-01,ICICI Prudential,Seasonal Naive,23020484000.0
2026-01-01,ICICI Prudential,Seasonal Naive,22652471900.0
2026-02-01,ICICI Prudential,Seasonal Naive,20009376400.0
2026-03-01,ICICI Prudential,Seasonal Naive,24120448400.0
2025-04-01,LIC,Default Prophet,213741065820.85712
2025-05-01,LIC,Default Prophet,218204837816.83792
2025-06-01,LIC,Default Prophet,214112845042.8441
2025-07-01,LIC,Default Prophet,221163707941.8647
2025-08-01,LIC,Default Prophet,225558451190.32886
2025-09-01,LIC,Default Prophet,215821400379.05115
2025-10-01,LIC,Default Prophet,215881544686.47208
2025-11-01,LIC,Default Prophet,213841836693.60114
2025-12-01,LIC,Default Prophet,224844742901.90158
2026-01-01,LIC,Default Prophet,220067722121.60602
2026-02-01,LIC,Default Prophet,198866321025.6806
2026-03-01,LIC,Default Prophet,218689138189.95343
2025-04-01,Max Life,Naive,18462902400.0
2025-05-01,Max Life,Naive,18462902400.0
2025-06-01,Max Life,Naive,18462902400.0
2025-07-01,Max Life,Naive,18462902400.0
2025-08-01,Max Life,Naive,18462902400.0
2025-09-01,Max Life,Naive,18462902400.0
2025-10-01,Max Life,Naive,18462902400.0
2025-11-01,Max Life,Naive,18462902400.0
2025-12-01,Max Life,Naive,18462902400.0
2026-01-01,Max Life,Naive,18462902400.0
2026-02-01,Max Life,Naive,18462902400.0
2026-03-01,Max Life,Naive,18462902400.0
2025-04-01,SBI Life,Seasonal Naive,27867642300.0
2025-05-01,SBI Life,Seasonal Naive,23339132200.0
2025-06-01,SBI Life,Seasonal Naive,29318526700.0
2025-07-01,SBI Life,Seasonal Naive,32499728600.0
2025-08-01,SBI Life,Seasonal Naive,26685585200.0
2025-09-01,SBI Life,Seasonal Naive,30338124800.0
2025-10-01,SBI Life,Seasonal Naive,29159834000.0
2025-11-01,SBI Life,Seasonal Naive,27035043900.0
2025-12-01,SBI Life,Seasonal Naive,27565282700.0
2026-01-01,SBI Life,Seasonal Naive,29374822900.0
2026-02-01,SBI Life,Seasonal Naive,27561018400.0
2026-03-01,SBI Life,Seasonal Naive,27008664100.0
2025-04-01,Tata AIA,Naive,17567419900.0
2025-05-01,Tata AIA,Naive,17567419900.0
2025-06-01,Tata AIA,Naive,17567419900.0
2025-07-01,Tata AIA,Naive,17567419900.0
2025-08-01,Tata AIA,Naive,17567419900.0
2025-09-01,Tata AIA,Naive,17567419900.0
2025-10-01,Tata AIA,Naive,17567419900.0
2025-11-01,Tata AIA,Naive,17567419900.0
2025-12-01,Tata AIA,Naive,17567419900.0
2026-01-01,Tata AIA,Naive,17567419900.0
2026-02-01,Tata AIA,Naive,17567419900.0
2026-03-01,Tata AIA,Naive,17567419900.0
